"Administrator","admin@sustain.vn","admin@sustain.vn","10.224.152.71","admin@sustain.vn","","admin@sustain.vn","*","DELETE","","*","0"
"user1","user1@sustain.vn","user1@sustain.vn","10.224.152.71","user1@sustain.vn","","user1@sustain.vn","*","DELETE","","*","0"
"user2","user2@sustain.vn","user2@sustain.vn","10.224.152.71","user2@sustain.vn","","user2@sustain.vn","*","DELETE","","*","0"
"user3","user3@sustain.vn","user3@sustain.vn","10.224.152.71","user3@sustain.vn","","user3@sustain.vn","*","DELETE","","*","0"
"user4","user4@sustain.vn","user4@sustain.vn","10.224.152.71","user4@sustain.vn","","user4@sustain.vn","*","DELETE","","*","0"
"user5","user5@sustain.vn","user5@sustain.vn","10.224.152.71","user5@sustain.vn","","user5@sustain.vn","*","DELETE","","*","0"
"user6","user6@sustain.vn","user6@sustain.vn","10.224.152.71","user6@sustain.vn","","user6@sustain.vn","*","DELETE","","*","0"
"user7","user7@sustain.vn","user7@sustain.vn","10.224.152.71","user7@sustain.vn","","user7@sustain.vn","*","DELETE","","*","0"
"user8","user8@sustain.vn","user8@sustain.vn","10.224.152.71","user8@sustain.vn","","user8@sustain.vn","*","DELETE","","*","0"
"user9","user9@sustain.vn","user9@sustain.vn","10.224.152.71","user9@sustain.vn","","user9@sustain.vn","*","DELETE","","*","0"
"user10","user10@sustain.vn","user10@sustain.vn","10.224.152.71","user10@sustain.vn","","user10@sustain.vn","*","DELETE","","*","0"
"user11","user11@sustain.vn","user11@sustain.vn","10.224.152.71","user11@sustain.vn","","user11@sustain.vn","*","DELETE","","*","0"
"user12","user12@sustain.vn","user12@sustain.vn","10.224.152.71","user12@sustain.vn","","user12@sustain.vn","*","DELETE","","*","0"
"user13","user13@sustain.vn","user13@sustain.vn","10.224.152.71","user13@sustain.vn","","user13@sustain.vn","*","DELETE","","*","0"
"user14","user14@sustain.vn","user14@sustain.vn","10.224.152.71","user14@sustain.vn","","user14@sustain.vn","*","DELETE","","*","0"
"user15","user15@sustain.vn","user15@sustain.vn","10.224.152.71","user15@sustain.vn","","user15@sustain.vn","*","DELETE","","*","0"
"user16","user16@sustain.vn","user16@sustain.vn","10.224.152.71","user16@sustain.vn","","user16@sustain.vn","*","DELETE","","*","0"
"user17","user17@sustain.vn","user17@sustain.vn","10.224.152.71","user17@sustain.vn","","user17@sustain.vn","*","DELETE","","*","0"
"user18","user18@sustain.vn","user18@sustain.vn","10.224.152.71","user18@sustain.vn","","user18@sustain.vn","*","DELETE","","*","0"
"user19","user19@sustain.vn","user19@sustain.vn","10.224.152.71","user19@sustain.vn","","user19@sustain.vn","*","DELETE","","*","0"
"user20","user20@sustain.vn","user20@sustain.vn","10.224.152.71","user20@sustain.vn","","user20@sustain.vn","*","DELETE","","*","0"
"user21","user21@sustain.vn","user21@sustain.vn","10.224.152.71","user21@sustain.vn","","user21@sustain.vn","*","DELETE","","*","0"
"user22","user22@sustain.vn","user22@sustain.vn","10.224.152.71","user22@sustain.vn","","user22@sustain.vn","*","DELETE","","*","0"
"user23","user23@sustain.vn","user23@sustain.vn","10.224.152.71","user23@sustain.vn","","user23@sustain.vn","*","DELETE","","*","0"
